"Марка","Модель","Год выпуска","Тип кузова","Объём двигателя","Пробег","Цена","Город","Дата публикации","Ссылка на объявление"
Li,L9,2024,"Кроссовер","1.5 (гибрид)","3 200 км","25 600 000 ₸","Алматы",2025-07-03T15:16:44+05:00,https://kolesa.kz/a/show/190505925
Toyota,Camry,2024,Седан,"2.5 (бензин)","15 000 км","22 200 000 ₸","Алматы",2025-07-05T16:08:40+05:00,https://kolesa.kz/a/show/193322141
Audi,e-tron,2021,"Кроссовер",,"22 500 км","28 800 000 ₸","Алматы",2025-07-05T08:10:16+05:00,https://kolesa.kz/a/show/193294513
Toyota,"Land Cruiser",2010,"Внедорожник","4.7 (бензин)","135 000 км","20 200 000 ₸","Алматы",2025-07-03T14:38:13+05:00,https://kolesa.kz/a/show/193163489
Toyota,Camry,2025,Седан,"2.5 (бензин)","95 км","23 200 000 ₸","Алматы",2025-07-05T23:59:59+05:00,https://kolesa.kz/a/show/191970863
Toyota,"Land Cruiser",2014,"Внедорожник","4.6 (бензин)","179 812 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189677247
Toyota,"Land Cruiser Prado",2020,"Внедорожник","2.7 (бензин)","119 421 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193160257
Mercedes-Benz,Sprinter,2021,"Фургон","3 (дизель)","450 000 км","25 700 000 ₸","Алматы",2025-07-01T01:17:22+05:00,https://kolesa.kz/a/show/192940070
Toyota,"RAV 4",2021,"Кроссовер","2.5 (бензин)","8 000 км","25 650 000 ₸","Алматы",2025-07-02T08:23:32+05:00,https://kolesa.kz/a/show/140969002
Li,L7,2025,"Кроссовер","1.5 (гибрид)",,"23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188914489
Toyota,Tundra,2013,"Пикап","5.7 (бензин)","240 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/178745432
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","14 000 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191653878
"Land Rover","Range Rover Sport",2014,"Внедорожник","5 (бензин)","120 000 км","23 200 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193192500
Mercedes-Benz,"GLE 400",2017,"Кроссовер","3 (бензин)","130 000 км","20 100 000 ₸","Алматы",2025-07-02T06:54:43+05:00,https://kolesa.kz/a/show/187889013
Lexus,"RX 200t",2021,"Кроссовер","2 (бензин)","52 262 км","23 200 000 ₸","Алматы",2025-07-06T16:07:33+05:00,https://kolesa.kz/a/show/193058413
Toyota,Highlander,2021,"Кроссовер","3.5 (бензин)","105 000 км","23 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193445270
Toyota,Camry,2023,Седан,"2.5 (бензин)","16 609 км","20 200 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/188114602
Toyota,Fortuner,2022,"Внедорожник","2.7 (бензин)","23 000 км","21 850 000 ₸","Алматы",2025-07-02T19:03:42+05:00,https://kolesa.kz/a/show/193098423
Li,L6,2025,"Кроссовер","1.5 (гибрид)","50 км","20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191026804
Audi,e-tron,2021,"Кроссовер",,"20 000 км","21 900 000 ₸","Алматы",2025-07-02T11:35:48+05:00,https://kolesa.kz/a/show/183131379
Toyota,Camry,2024,Седан,"2.5 (бензин)","7 500 км","23 200 000 ₸","Алматы",2025-07-05T23:59:59+05:00,https://kolesa.kz/a/show/192880460
BYD,"FangChengBao Leopard 5",2023,"Внедорожник","1.5 (гибрид)","39 800 км","20 200 000 ₸","Алматы",2025-07-02T17:37:16+05:00,https://kolesa.kz/a/show/189061453
Porsche,Cayenne,2016,"Кроссовер","3.6 (бензин)","111 000 км","25 700 000 ₸","Алматы",2025-07-01T21:10:17+05:00,https://kolesa.kz/a/show/191257786
Mercedes-Benz,"S 500",2014,Седан,"4.7 (бензин)","101 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/160566403
Li,L7,2024,"Кроссовер","1.5 (гибрид)","24 000 км","23 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/189187923
Toyota,"Land Cruiser Prado",2023,"Внедорожник","2.7 (бензин)","40 000 км","28 800 000 ₸","Алматы",2025-07-02T13:10:42+05:00,https://kolesa.kz/a/show/193067442
Porsche,Cayenne,2012,"Кроссовер","4.8 (бензин)","48 000 км","20 900 000 ₸","Алматы",2025-07-07T13:20:58+05:00,https://kolesa.kz/a/show/177810642
BYD,"FangChengBao Leopard 5",2025,"Внедорожник","1.5 (гибрид)","50 км","26 050 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/185098152
"Land Rover","Range Rover",2013,"Внедорожник","5 (бензин)","213 050 км","23 555 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190465400
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","196 000 км","21 800 000 ₸","Алматы",2025-07-02T11:49:23+05:00,https://kolesa.kz/a/show/170012897
"Land Rover","Range Rover Sport",2015,"Внедорожник","3 (бензин)","120 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183561735
Lexus,"LX 570",2014,"Внедорожник","5.7 (бензин)","225 000 км","28 700 000 ₸","Алматы",2025-07-03T23:33:10+05:00,https://kolesa.kz/a/show/183398146
Cadillac,XT5,2021,"Кроссовер","2 (бензин)","13 550 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/170068306
Avatr,07,2024,"Кроссовер","1.5 (бензин)","50 км","20 800 000 ₸","Алматы",2025-07-07T12:00:36+05:00,https://kolesa.kz/a/show/189886874
Li,L9,2023,"Кроссовер","1.5 (бензин)","7 460 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193116637
Kia,Carnival,2022,"Минивэн","3.5 (бензин)","28 000 км","20 100 000 ₸","Алматы",2025-06-30T21:43:26+05:00,https://kolesa.kz/a/show/189028230
Lexus,"ES 300h",2023,Седан,"2.5 (гибрид)","55 555 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190292674
Mercedes-Benz,Sprinter,2020,"Фургон","3 (дизель)","777 777 км","23 100 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/192474025
Toyota,"Land Cruiser Prado",2018,"Внедорожник","2.7 (бензин)","103 000 км","22 200 000 ₸","Алматы",2025-07-05T16:46:11+05:00,https://kolesa.kz/a/show/191376979
Toyota,"Land Cruiser",2008,"Внедорожник","5.7 (бензин)","350 000 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183199685
Ford,F-Series,2019,"Пикап","2.7 (бензин)","110 000 км","21 900 000 ₸","Алматы",2025-06-30T23:59:59+05:00,https://kolesa.kz/a/show/174271334
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","207 000 км","22 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192342962
Toyota,Camry,2024,Седан,"2.5 (бензин)",,"21 800 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/192970915
Li,L7,2024,"Кроссовер","1.5 (гибрид)","10 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190584951
Toyota,"Land Cruiser",2014,"Внедорожник","4.6 (бензин)","165 000 км","23 900 000 ₸","Алматы",2025-07-07T14:50:03+05:00,https://kolesa.kz/a/show/191747653
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","7 500 км","21 900 000 ₸","Алматы",2025-07-02T11:38:35+05:00,https://kolesa.kz/a/show/192278854
Tank,500,2023,"Внедорожник","3 (бензин)","29 км","24 000 000 ₸","Алматы",2025-07-07T16:45:20+05:00,https://kolesa.kz/a/show/177324528
Lexus,"GX 460",2020,"Внедорожник","4.6 (бензин)","34 000 км","26 000 000 ₸","Алматы",2025-07-07T13:33:55+05:00,https://kolesa.kz/a/show/177102013
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","8 500 км","23 100 000 ₸","Алматы",2025-07-04T10:43:39+05:00,https://kolesa.kz/a/show/193226881
Li,L7,2024,"Кроссовер","1.5 (гибрид)","3 000 км","22 200 000 ₸","Алматы",2025-07-05T11:00:38+05:00,https://kolesa.kz/a/show/183351562
Kia,Carnival,2022,"Минивэн","3.5 (бензин)","17 200 км","21 900 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/193187380
Toyota,"Land Cruiser Prado",2019,"Внедорожник","2.7 (бензин)","80 000 км","23 800 000 ₸","Алматы",2025-07-06T18:40:18+05:00,https://kolesa.kz/a/show/188879897
Jeep,Wrangler,2021,"Внедорожник","2 (бензин)","21 413 км","24 000 000 ₸","Алматы",2025-07-07T18:30:22+05:00,https://kolesa.kz/a/show/161493863
Lexus,"LX 570",2010,"Внедорожник","5.7 (бензин)","330 000 км","20 200 000 ₸","Алматы",2025-07-02T08:46:46+05:00,https://kolesa.kz/a/show/191647889
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","29 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191346488
Li,L7,2024,"Кроссовер","1.5 (гибрид)",,"24 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193381775
Hyundai,Palisade,2022,"Кроссовер","3.5 (бензин)","33 000 км","22 200 000 ₸","Алматы",2025-07-01T14:48:42+05:00,https://kolesa.kz/a/show/190673638
BMW,340,2020,Седан,"3 (бензин)","86 000 км","28 800 000 ₸","Алматы",2025-07-01T09:42:15+05:00,https://kolesa.kz/a/show/184545742
